Accel_x,Accel_y,Accel_z
1.499,0,1.094
1.439,-0.012,0.855
1.209,-0.075,0.583
1.075,-0.115,0.466
0.884,-0.134,0.522
0.551,-0.225,0.602
0.304,-0.223,0.768
0.163,-0.173,1.069
0.114,-0.004,1.18
0.045,-0.105,1.2
0.015,-0.099,1.169
-0.014,-0.085,1.115
-0.018,-0.089,1.068
-0.005,-0.088,1.009
0.003,-0.056,0.949
0.003,0.008,0.897
0.004,0.053,0.846
0.016,0.09,0.808
0.07,0.191,0.775
0.118,0.234,0.744
0.101,0.27,0.726
0.091,0.248,0.735
0.092,0.217,0.768
0.093,0.211,0.812
0.061,0.203,0.844
0.004,0.2,0.868
-0.032,0.19,0.891
-0.047,0.178,0.915
-0.048,0.161,0.923
-0.041,0.173,0.933
-0.036,0.21,0.944
-0.036,0.237,0.947
-0.035,0.249,0.941
-0.031,0.26,0.924
-0.013,0.269,0.906
0.004,0.263,0.878
0.007,0.234,0.877
0.003,0.182,0.887
0.017,0.147,0.923
0.022,0.137,0.959
0.013,0.1,1.01
0,0.095,1.065
-0.019,0.113,1.093
-0.029,0.13,1.106
-0.012,0.13,1.107
0.001,0.115,1.095
0.009,0.108,1.068
0.011,0.081,1.041
0.023,0.032,1.024
0.052,0.021,0.986
0.073,0.02,0.96
0.059,0.028,0.964
0.037,0.036,0.977
0.021,0.05,1.005
0.017,0.059,1.022
0.02,0.064,1.04
0.014,0.069,1.068
0.003,0.072,1.069
-0.006,0.066,1.075
-0.01,0.069,1.088
0.012,0.099,1.099
0.044,0.139,1.121
0.089,0.113,1.15
0.108,0.145,1.102
0.101,0.168,1.084
0.099,0.153,1.079
0.091,0.129,1.078
0.073,0.105,1.073
0.059,0.093,1.076
0.056,0.105,1.09
0.053,0.114,1.1
0.06,0.113,1.097
0.066,0.136,1.089
0.072,0.16,1.075
0.086,0.144,1.068
0.1,0.109,1.058
0.137,0.095,1.05
0.174,0.071,1.041
0.186,0.042,1.042
0.181,0.043,1.037
0.168,0.066,1.047
0.163,0.083,1.08
0.157,0.081,1.08
0.126,0.049,1.058
0.103,-0.006,0.976
0.089,0.025,0.931
0.061,0.149,0.886
0.019,0.228,0.816
-0.035,0.317,0.743
-0.098,0.315,0.664
-0.119,0.388,0.626
-0.241,0.49,1.509
-0.427,0.45,1.707
-0.824,1.22,2.473
-1.229,1.617,2.715
-1.025,1.296,2.636
-0.119,0.469,2.359
-0.395,0.251,1.083
0.48,-1.732,-0.365
1.024,-3.253,-0.802
2.39,-4.688,-1.181
2.262,-4.171,-0.732
1.251,-3.295,0.083
0.712,-2.019,0.543
0.151,-0.789,0.821
0.077,0.428,1.19
0.058,0.401,0.671
0.245,0.032,0.693
0.357,-0.826,1.09
0.216,-1.14,1.083
0.136,-0.722,0.951
0.285,-0.457,1.031
0.446,-0.493,1.222
0.529,-0.668,1.333
0.458,-0.7,1.37
0.345,-0.621,1.335
0.301,-0.51,1.285
0.324,-0.432,1.187
0.382,-0.386,1.099
0.411,-0.293,0.969
0.39,-0.205,0.928
0.374,-0.182,0.893
0.351,-0.143,0.907
0.311,-0.12,0.941
0.292,-0.097,1.026
0.284,-0.098,1.058
0.258,-0.096,1.05
0.224,-0.064,1.042
0.193,-0.007,1.045
0.176,0.04,1.08
0.149,0.038,1.042
0.122,0.084,1.039
0.15,0.104,1.047
0.16,0.113,1.039
0.183,0.095,1.053
0.225,0.07,1.068
0.243,0.067,1.069
0.254,0.078,1.066
0.245,0.088,1.053
0.215,0.105,1.053
0.196,0.122,1.057
0.174,0.138,1.064
0.154,0.151,1.069
0.135,0.144,1.073
0.113,0.131,1.064
0.091,0.135,1.049
0.069,0.151,1.041
0.055,0.157,1.045
0.045,0.142,1.035
0.056,0.128,1.014
0.064,0.109,0.961
0.012,0.145,0.89
0.086,0.088,0.946
0.114,0.064,0.905
0.104,0.121,0.89
0.098,0.152,0.891
0.091,0.161,0.892
0.08,0.184,0.889
0.069,0.199,0.897
0.052,0.203,0.903
0.033,0.212,0.927
-0.033,0.224,0.957
-0.038,0.21,0.98
-0.062,0.211,0.977
-0.087,0.204,0.996
-0.089,0.184,1.009
-0.074,0.182,0.999
-0.051,0.163,0.978
-0.042,0.141,0.956
-0.053,0.169,0.902
-0.055,0.234,0.871
-0.068,0.258,0.84
-0.055,0.255,0.832
-0.032,0.25,0.825
-0.025,0.216,0.811
-0.039,0.191,0.814
-0.057,0.183,0.809
-0.07,0.182,0.819
-0.072,0.165,0.834
-0.073,0.147,0.861
-0.082,0.145,0.894
-0.091,0.167,0.921
-0.104,0.192,0.954
-0.1,0.204,0.976
-0.082,0.199,1.021
-0.064,0.2,1.043
-0.061,0.209,1.062
-0.062,0.282,1.069
-0.06,0.289,1.065
-0.039,0.272,1.059
-0.017,0.246,1.058
-0.008,0.227,1.056
0,0.218,1.05
0.006,0.216,1.042
0.011,0.206,1.033
0.002,0.184,1.021
-0.006,0.168,1.023
-0.015,0.156,1.029
-0.019,0.147,1.037
-0.021,0.13,1.043
-0.021,0.122,1.051
-0.025,0.111,1.048
-0.029,0.107,1.048
-0.041,0.104,1.047
-0.045,0.101,1.047
-0.046,0.083,1.052
-0.043,0.083,1.061
-0.036,0.092,1.071
-0.02,0.109,1.067
-0.005,0.131,1.056
-0.266,0.861,0.922
-0.324,0.889,1.042
-0.413,1.013,1.139
-0.425,1.038,1.241
-0.446,1.078,1.276
-0.319,1.096,1.243
0.029,0.816,1.295
-0.205,0.515,0.652
0.523,-0.305,0.593
0.827,-0.704,0.162
1.336,-1.49,-0.081
1.332,-1.933,-0.217
1.234,-2.139,-0.205
1.037,-2.274,-0.141
0.369,-2.002,0.202
0.1,-1.844,0.731
-0.091,-1.731,1.095
-0.106,-1.765,1.701
-0.087,-1.83,2.384
-0.041,-1.814,2.81
0.104,-1.619,3.32
0.257,-0.899,3.32
0.386,-0.458,2.703
0.735,-0.628,1.855
1.047,-0.651,1.428
1.226,-0.526,1.004
1.22,-0.413,0.615
1.06,-0.314,0.08
0.853,-0.257,-0.031
0.584,-0.182,0.048
0.411,-0.156,0.285
0.318,-0.127,0.567
0.277,-0.09,0.833
0.263,-0.118,0.96
0.246,-0.119,0.969
0.197,-0.063,0.953
0.188,-0.057,0.963
0.223,-0.067,0.969
0.238,-0.041,0.962
0.302,-0.033,1.015
0.224,0.047,0.86
0.177,0.063,0.867
0.201,0.056,0.886
0.217,0.034,0.91
0.252,0.066,0.955
0.28,0.119,0.988
0.294,0.193,1.035
0.303,0.237,1.039
0.302,0.265,1.047
0.302,0.304,1.064
0.294,0.304,1.049
0.279,0.309,1.036
0.265,0.325,1.009
0.248,0.351,0.98
0.225,0.393,0.939
0.146,0.415,0.9
0.071,0.421,0.826
0.04,0.386,0.767
0.006,0.343,0.737
-0.001,0.273,0.722
-0.027,0.241,0.718
-0.041,0.221,0.731
-0.048,0.208,0.757
-0.03,0.229,0.793
-0.021,0.257,0.822
-0.014,0.332,0.865
-0.011,0.39,0.888
-0.002,0.439,0.91
0.005,0.44,0.919
0.016,0.383,0.919
0.023,0.321,0.92
0.04,0.211,0.945
0.04,0.178,0.986
0.04,0.171,1.034
0.054,0.215,1.067
0.062,0.24,1.072
0.064,0.275,1.058
0.059,0.282,1.037
0.052,0.263,1.01
0.04,0.239,0.991
0.051,0.196,0.991
0.061,0.174,0.979
0.063,0.143,0.984
0.051,0.142,0.995
0.038,0.158,1.008
0.02,0.163,1.032
0.024,0.152,1.043
0.025,0.144,1.057
0.029,0.147,1.067
0.03,0.155,1.072
0.03,0.166,1.072
0.03,0.17,1.065
0.033,0.179,1.052
0.037,0.183,1.04
0.04,0.183,1.018
0.032,0.184,0.999
0.036,0.171,0.998
0.043,0.162,0.874
0.028,0.153,0.989
0.032,0.125,0.993
0.035,0.127,1.007
0.03,0.14,1.031
0.025,0.144,1.048
0.03,0.158,1.052
0.035,0.163,1.047
0.034,0.167,1.039
0.028,0.168,1.031
0.028,0.161,1.01
0.022,0.152,0.982
0.019,0.137,0.97
0.019,0.132,0.952
0.029,0.135,0.95
0.042,0.13,0.955
0.052,0.1,0.959
0.049,0.101,0.989
0.039,0.107,1.031
0.031,0.11,1.063
0.018,0.119,1.093
0.025,0.123,1.072
-0.178,0.733,1.121
-0.248,0.952,1.138
-0.341,1.159,1.119
-0.463,1.445,1.091
-0.618,1.666,1.04
-0.668,1.76,1.008
-0.609,1.826,0.936
-0.564,1.671,0.82
-0.484,1.508,0.693
-0.279,1.231,0.5
-0.073,0.918,0.516
0.182,0.22,0.473
0.154,0.005,0.07
0.767,-0.863,0.304
1.133,-1.852,0.291
1.098,-2.175,0.495
0.905,-1.957,0.815
0.697,-1.513,1.077
0.526,-1.321,1.381
0.445,-1.264,1.596
0.395,-1.279,1.761
0.321,-1.297,1.892
0.234,-1.317,1.91
0.135,-1.163,1.818
0.098,-0.923,1.653
0.124,-0.813,1.55
0.279,-0.699,1.544
0.504,-0.588,1.509
0.585,-0.453,1.374
0.685,-0.404,1.136
0.746,-0.413,0.973
0.759,-0.405,0.783
0.702,-0.404,0.684
0.594,-0.409,0.625
0.521,-0.365,0.684
0.497,-0.336,0.752
0.469,-0.333,0.813
0.429,-0.315,0.865
0.372,-0.292,0.912
0.324,-0.292,0.947
0.301,-0.265,0.954
0.302,-0.233,0.969
0.295,-0.209,0.961
0.294,-0.18,0.96
0.308,-0.122,0.974
0.333,-0.075,0.993
0.343,-0.005,0.994
0.346,0.079,0.985
0.32,0.156,0.905
0.296,0.181,0.868
0.295,0.161,0.832
0.306,0.133,0.809
0.283,0.117,0.791
0.23,0.14,0.785
0.232,0.149,0.768
0.187,0.16,0.774
0.134,0.207,0.779
0.095,0.25,0.765
0.08,0.287,0.772
0.084,0.312,0.784
0.09,0.337,0.794
0.095,0.346,0.799
0.112,0.362,0.798
0.122,0.36,0.808
0.135,0.351,0.822
0.146,0.343,0.833
0.154,0.35,0.842
0.14,0.366,0.83
0.115,0.37,0.82
0.113,0.35,0.824
0.111,0.32,0.82
0.102,0.313,0.812
0.096,0.308,0.815
0.08,0.294,0.823
0.041,0.282,0.834
0.03,0.274,0.853
0.017,0.276,0.874
0.012,0.292,0.915
0.023,0.31,0.941
0.031,0.332,0.969
0.041,0.357,0.99
0.051,0.373,0.999
0.062,0.372,1.002
0.071,0.37,0.996
0.073,0.369,0.985
0.075,0.363,0.97
0.077,0.341,0.955
0.075,0.307,0.934
0.048,0.302,0.915
0.03,0.258,0.928
0.034,0.254,0.964
0.011,0.23,1.006
-0.012,0.225,1.034
-0.016,0.231,1.047
-0.008,0.24,1.058
0.001,0.244,1.065
0.006,0.246,1.071
0.016,0.256,1.073
0.03,0.254,1.07
0.051,0.243,1.065
0.067,0.216,1.06
0.072,0.185,1.052
0.071,0.173,1.05
0.06,0.166,1.053
0.047,0.149,1.061
0.035,0.134,1.07
0.023,0.117,1.068
0.016,0.106,1.062
0.02,0.09,1.075
0.017,0.088,1.061
0.023,0.107,1.061
0.042,0.093,1.034
0.065,0.061,1.023
0.069,0.054,1.021
0.071,0.051,1.025
0.076,0.041,1.033
0.082,0.029,1.048
0.086,0.026,1.057
0.082,0.03,1.057
-0.274,0.518,1.322
-0.257,0.669,1.271
-0.132,0.805,1.163
0.026,0.84,1.018
0.107,0.732,0.919
0.036,0.433,0.43
0.165,0.074,0.589
0.244,-0.039,0.361
0.356,-0.206,0.304
0.483,-0.354,0.128
0.539,-0.642,0.246
0.408,-0.779,0.29
0.244,-0.841,0.455
0.105,-0.843,0.657
0.035,-0.783,0.948
-0.082,-0.695,1.198
-0.16,-0.587,1.365
-0.203,-0.501,1.443
-0.141,-0.407,1.511
-0.099,-0.358,1.53
-0.036,-0.281,1.557
0.047,-0.222,1.539
0.115,-0.211,1.504
0.181,-0.183,1.417
0.238,-0.137,1.281
0.284,-0.105,1.166
0.459,-0.039,1.082
0.651,-0.02,1.036
0.633,0.045,1.028
0.6,0.048,1.086
0.506,0.017,1.19
0.452,-0.026,1.185
0.443,-0.06,1.168
0.398,-0.061,1.174
0.377,-0.052,1.194
0.368,-0.03,1.203
0.383,0,1.189
0.396,0.008,1.181
0.398,0.019,1.176
0.394,0.048,1.166
0.384,0.062,1.151
0.38,0.072,1.108
0.399,0.066,1.076
0.388,0.053,1.05
0.351,0.076,1.026
0.307,0.091,1.001
0.269,0.046,1.01
0.212,-0.002,0.876
0.164,-0.022,0.991
0.102,-0.02,0.99
0.094,-0.02,0.99
0.101,-0.013,0.995
0.123,0.002,0.981
0.155,0.005,0.948
0.162,0.009,0.909
0.149,0.026,0.896
0.163,0.069,0.902
0.184,0.096,0.921
0.187,0.105,0.952
0.17,0.102,0.967
0.143,0.089,0.95
0.087,0.119,0.909
0.036,0.131,0.789
0,0.115,0.713
-0.015,0.097,0.678
-0.014,0.089,0.656
0.005,0.111,0.639
0.042,0.137,0.613
0.061,0.188,0.587
0.076,0.291,0.583
0.081,0.335,0.576
0.051,0.346,0.55
0.004,0.32,0.545
-0.025,0.303,0.546
0.065,0.225,0.731
0.059,0.187,0.639
-0.12,0.237,0.73
-0.053,0.336,0.888
0.045,0.315,0.781
-0.052,0.265,0.84
-0.124,0.35,1.001
-0.044,0.376,1.038
-0.232,0.537,0.905
-0.281,0.501,0.872
-0.247,0.358,0.911
-0.197,0.21,0.955
-0.214,0.157,1.008
-0.252,0.094,1.092
-0.258,-0.032,1.117
-0.194,-0.068,1.213
-0.437,0.324,1.834
-0.582,0.346,1.788
-0.688,-0.057,1.375
-0.602,-0.12,1.211
-0.393,-0.156,1.198
-0.337,-0.209,1.166
-0.356,-0.276,1.122
-0.309,-0.27,1.044
-0.224,-0.311,0.825
-0.208,-0.28,0.662
-0.091,0.034,0.374
-0.006,-0.099,0.355
0.059,0.056,0.44
-0.027,0.141,0.371
-0.071,0.085,0.151
-0.045,-0.043,0.273
-0.004,-0.418,0.287
-1.353,-2.498,0.128
-0.559,-1.095,2.787
0.544,-0.171,1.012
-0.933,-0.795,1.096
-0.13,0.018,1.238
-0.246,0.315,1.023
-0.599,0.26,1.172
-0.586,0.247,1.362
-0.472,0.035,1.418
-0.399,-0.228,1.283
-0.316,-0.131,1.133
-0.39,-0.041,0.968
