Accel_x,Accel_y,Accel_z
-0.467,0.624,1.238
-0.461,0.728,1.232
-0.46,0.829,1.213
-0.465,0.941,1.18
-0.476,1.046,1.139
-0.477,1.084,1.092
-0.454,1.118,1.007
-0.421,1.129,0.906
-0.385,1.117,0.847
-0.329,1.075,0.747
-0.258,0.972,0.562
-0.218,0.834,0.396
-0.14,0.703,0.308
-0.035,0.493,0.191
0.102,0.265,0.107
0.189,0.113,0.059
0.298,-0.109,0.005
0.434,-0.396,-0.003
0.568,-0.681,0.019
0.65,-1.01,0.074
0.755,-1.291,0.192
0.803,-1.598,0.296
0.776,-1.849,0.463
0.648,-1.952,0.558
0.492,-1.909,0.749
0.228,-1.642,1.022
0.166,-1.464,1.374
0.261,-1.36,1.621
0.37,-1.247,1.875
0.465,-1.172,1.989
0.441,-1.033,2.092
0.431,-0.99,2.076
0.475,-0.857,1.937
0.519,-0.691,1.813
0.558,-0.62,1.637
0.676,-0.496,1.456
0.976,-0.449,1.278
0.973,-0.445,1.251
0.852,-0.31,1.226
0.809,-0.299,1.281
0.802,-0.306,1.252
0.807,-0.311,1.173
0.816,-0.351,1.094
0.81,-0.381,1.014
0.79,-0.336,0.892
0.765,-0.306,0.825
0.697,-0.29,0.732
0.616,-0.263,0.662
0.559,-0.219,0.603
0.535,-0.192,0.593
0.496,-0.142,0.631
0.481,-0.142,0.698
0.451,-0.134,0.808
0.407,-0.128,0.871
0.359,-0.113,0.96
0.322,-0.109,1.015
0.309,-0.105,1.041
0.303,-0.106,1.065
0.307,-0.112,1.075
0.346,-0.12,1.079
0.374,-0.138,1.077
0.299,-0.12,1.034
0.269,-0.093,1.009
0.272,-0.092,0.998
0.294,-0.079,0.969
0.318,-0.03,0.941
0.333,-0.004,0.979
0.302,0.026,0.922
0.265,0.033,0.931
0.257,0.017,0.94
0.23,0.017,0.938
0.175,0.02,0.932
0.139,0.014,0.93
0.13,0.017,0.929
0.123,0.025,0.934
0.116,0.036,0.941
0.115,0.056,0.947
0.122,0.077,0.953
0.132,0.113,0.94
0.127,0.13,0.923
0.103,0.119,0.895
0.086,0.102,0.887
0.074,0.085,0.889
0.067,0.084,0.896
0.06,0.091,0.907
0.031,0.131,0.913
0.014,0.172,0.907
0.021,0.172,0.902
0.038,0.161,0.904
0.048,0.155,0.895
0,0.156,0.839
-0.003,0.177,0.853
0.039,0.114,0.859
0.015,0.087,0.861
-0.02,0.09,0.86
-0.054,0.097,0.862
-0.062,0.105,0.869
-0.05,0.14,0.893
-0.037,0.177,0.904
-0.02,0.237,0.921
0.02,0.287,0.953
0.068,0.312,0.973
0.102,0.325,0.991
0.096,0.335,0.971
0.098,0.32,0.952
0.083,0.3,0.932
0.072,0.234,0.935
0.057,0.206,0.957
0.043,0.19,0.99
0.01,0.199,1.004
-0.287,0.744,1.031
-0.319,0.833,1.049
-0.342,0.907,1.053
-0.373,0.969,1.065
-0.355,0.974,1.087
-0.324,1.006,1.088
-0.312,1.017,1.077
-0.313,1,1.041
-0.312,0.961,0.981
-0.311,0.917,0.916
-0.131,0.62,0.948
-0.175,0.59,0.694
-0.109,0.393,0.661
-0.022,0.25,0.606
0.074,0.114,0.547
0.197,-0.06,0.386
0.316,-0.31,0.29
0.349,-0.528,0.197
0.471,-0.773,0.108
0.523,-1.067,0.047
0.621,-1.373,0.008
0.776,-1.681,-0.007
0.854,-2.051,0.072
0.823,-2.179,0.222
0.57,-2.104,0.73
0.438,-1.961,0.972
0.386,-1.668,1.335
0.427,-1.384,1.621
0.488,-1.186,1.741
0.549,-1.14,1.825
0.623,-1.004,1.881
0.67,-0.998,1.881
0.656,-0.744,1.796
0.65,-0.576,1.708
0.655,-0.452,1.593
0.696,-0.341,1.42
0.716,-0.31,1.303
0.779,-0.315,1.195
0.804,-0.352,1.021
0.804,-0.351,0.948
0.779,-0.34,0.846
0.72,-0.361,0.759
0.675,-0.392,0.735
0.629,-0.423,0.684
0.581,-0.451,0.675
0.554,-0.458,0.671
0.495,-0.448,0.672
0.441,-0.416,0.682
0.415,-0.271,0.694
0.379,-0.351,0.703
0.355,-0.313,0.72
0.349,-0.246,0.729
0.363,-0.216,0.707
0.381,-0.154,0.681
0.386,-0.111,0.671
0.372,-0.105,0.662
0.366,-0.151,0.76
0.273,-0.207,0.887
0.248,-0.232,0.941
0.167,-0.283,1.022
0.212,-0.304,1.297
0.189,-0.149,1.157
0.054,-0.119,1.217
0.079,-0.13,1.241
0.121,-0.128,1.236
0.132,-0.064,1.188
0.129,-0.022,1.121
0.115,-0.01,1.07
0.113,0.001,1.009
0.126,0.016,0.951
0.156,0.022,0.896
0.184,0.034,0.863
0.202,0.031,0.807
0.212,0.014,0.766
0.212,-0.017,0.737
0.197,-0.069,0.748
0.162,-0.056,0.788
0.136,-0.007,0.842
0.087,0.021,0.897
0.047,0.05,0.931
0.021,0.05,0.957
0.008,0.03,0.969
-0.004,0.038,0.974
0.001,0.037,0.969
0.027,0.024,0.962
0.048,0.04,0.952
0.066,0.065,0.945
0.077,0.081,0.944
0.096,0.084,0.951
0.121,0.086,0.963
0.127,0.086,0.973
0.134,0.08,0.994
0.107,0.103,0.979
0.079,0.138,0.971
0.052,0.16,0.958
0.003,0.215,0.873
-0.019,0.225,0.904
0.122,0.199,0.895
-0.001,0.195,0.848
-0.013,0.203,0.839
-0.004,0.162,0.842
0.008,0.161,0.823
0.03,0.157,0.818
0.066,0.138,0.813
0.079,0.148,0.806
0.074,0.165,0.811
0.082,0.161,0.839
0.094,0.146,0.856
0.099,0.139,0.895
0.1,0.134,0.937
0.064,0.145,0.989
0.038,0.149,1.021
0.028,0.148,1.05
0.023,0.146,1.072
0.028,0.151,1.095
0.031,0.16,1.116
0.039,0.159,1.13
0.039,0.165,1.136
0.05,0.167,1.144
-0.226,0.674,1.198
-0.335,0.765,1.321
-0.324,0.852,1.579
-0.351,0.944,1.648
-0.435,1.053,1.695
-0.558,1.172,1.702
-0.686,1.32,1.586
-0.743,1.152,1.555
-0.675,1.258,1.233
-0.537,1.055,1.056
-0.276,0.654,0.511
-0.22,0.456,0.482
0.316,-0.19,0.072
0.65,-0.64,0.008
1.089,-1.241,-0.187
1.19,-1.552,-0.198
1.012,-1.811,-0.142
0.841,-1.896,0.072
0.691,-1.827,0.451
0.508,-1.526,0.841
0.254,-1.192,1.164
0.035,-1.004,1.323
0.03,-0.975,1.418
0.037,-0.896,1.497
0.112,-0.568,1.485
0.246,-0.494,1.381
0.433,-0.51,1.248
0.605,-0.506,1.163
0.736,-0.491,1.115
0.804,-0.482,1.043
0.874,-0.481,0.983
0.895,-0.481,0.961
0.871,-0.478,0.935
0.819,-0.472,0.9
0.762,-0.461,0.877
0.707,-0.434,0.848
0.655,-0.39,0.82
0.632,-0.343,0.803
0.601,-0.336,0.828
0.56,-0.348,0.861
0.525,-0.392,0.914
0.486,-0.411,0.979
0.436,-0.423,1.026
0.395,-0.407,1.076
0.373,-0.414,1.124
0.365,-0.423,1.128
0.406,-0.458,1.151
0.441,-0.456,1.122
0.53,-0.443,1.25
0.339,-0.305,1.078
0.277,-0.231,1.106
0.25,-0.169,1.094
0.226,-0.105,1.022
0.212,-0.091,0.935
0.196,0.003,0.867
0.198,0.027,0.793
0.182,0.029,0.756
0.134,0.057,0.73
0.072,0.058,0.71
0.024,0.094,0.708
-0.033,0.127,0.73
-0.053,0.178,0.779
-0.019,0.332,0.846
0.005,0.41,0.826
0.031,0.448,0.79
0.033,0.423,0.772
0.03,0.383,0.774
0.032,0.361,0.784
0.032,0.348,0.81
0.02,0.343,0.846
-0.004,0.346,0.893
-0.04,0.373,0.936
-0.067,0.399,0.963
-0.068,0.386,0.992
-0.081,0.392,1.009
-0.094,0.411,1.018
-0.069,0.398,1.009
-0.049,0.336,0.988
-0.051,0.291,1.001
-0.057,0.258,1.017
-0.052,0.237,1.046
-0.049,0.216,1.085
-0.047,0.197,1.129
-0.046,0.187,1.161
-0.041,0.174,1.178
-0.032,0.16,1.181
-0.031,0.131,1.177
-0.041,0.093,1.159
-0.043,0.069,1.15
-0.032,0.051,1.131
-0.019,0.036,1.12
-0.019,0.013,1.117
-0.025,-0.016,1.124
-0.032,-0.02,1.117
-0.04,-0.022,1.102
-0.033,-0.025,1.081
-0.01,-0.008,1.054
0.012,-0.009,1.005
0.024,-0.03,0.967
0.035,-0.048,0.936
0.034,-0.066,0.929
0.017,-0.087,0.956
-0.011,-0.084,0.987
-0.028,-0.067,1.04
-0.028,-0.047,1.069
-0.027,-0.037,1.079
-0.015,-0.017,1.076
0.009,0.015,1.065
0.028,0.02,1.044
0.044,0.01,1.018
0.056,0.008,0.982
0.052,-0.001,0.97
0.047,-0.003,0.967
0.046,-0.007,0.971
0.047,-0.012,0.979
0.046,-0.017,0.985
0.046,-0.02,0.985
0.045,-0.014,0.984
0.04,-0.011,0.986
-0.207,0.555,1.273
-0.273,0.577,1.301
-0.323,0.603,1.331
-0.363,0.629,1.34
-0.421,0.644,1.331
-0.469,0.658,1.33
-0.49,0.682,1.324
-0.488,0.699,1.312
-0.486,0.699,1.286
-0.483,0.7,1.245
-0.451,0.696,1.218
-0.411,0.687,1.192
-0.262,0.674,1.16
-0.303,0.647,1.11
-0.212,0.619,1.075
-0.11,0.561,1.046
0.021,0.51,1.043
0.161,0.375,0.966
-0.043,0.565,0.655
0.242,0.081,0.697
0.472,-0.109,0.51
0.518,-0.488,0.282
0.692,-0.914,0.167
0.586,-1.252,0.091
0.603,-1.351,0.172
0.521,-1.358,0.264
0.442,-1.36,0.437
0.457,-1.328,0.602
0.43,-1.26,0.76
0.199,-1.095,0.851
-0.047,-0.85,0.992
-0.089,-0.764,1.058
-0.018,-0.679,1.15
0.227,-0.721,1.271
0.346,-0.662,1.357
0.506,-0.561,1.429
0.62,-0.462,1.52
0.722,-0.426,1.482
0.727,-0.416,1.369
0.696,-0.423,1.265
0.649,-0.454,1.17
0.573,-0.469,1.095
0.504,-0.451,1.037
0.475,-0.425,1.005
0.46,-0.393,0.953
0.413,-0.366,0.91
0.399,-0.367,0.908
0.386,-0.366,0.949
0.376,-0.367,1.029
0.35,-0.323,1.085
0.306,-0.301,1.121
0.25,-0.266,1.146
0.225,-0.218,1.15
0.216,-0.184,1.122
0.205,-0.17,1.121
0.213,-0.15,1.112
0.15,-0.099,1.025
0.125,-0.044,0.971
0.108,-0.035,0.941
0.112,-0.047,0.901
0.124,-0.043,0.869
0.148,-0.035,0.809
0.168,-0.032,0.776
0.169,-0.03,0.752
0.163,-0.019,0.738
0.153,-0.004,0.737
0.136,0.012,0.745
0.109,0.026,0.756
0.08,0.043,0.766
0.043,0.054,0.775
-0.006,0.057,0.793
-0.03,0.071,0.815
-0.043,0.086,0.827
-0.036,0.111,0.838
-0.026,0.13,0.833
-0.023,0.201,0.821
-0.012,0.237,0.795
0.007,0.265,0.778
0.021,0.286,0.77
0.047,0.311,0.772
0.068,0.333,0.788
0.056,0.339,0.79
0.037,0.333,0.808
0.033,0.329,0.825
0.019,0.356,0.853
0.02,0.374,0.884
0.018,0.364,0.916
0.023,0.353,0.933
0.006,0.374,0.901
0.016,0.344,0.901
0.026,0.301,0.901
0.046,0.272,0.913
-0.035,0.344,0.886
0.017,0.304,0.951
0.024,0.309,0.969
-0.005,0.315,0.964
-0.037,0.29,0.968
-0.051,0.227,0.992
-0.086,0.201,1.015
-0.089,0.208,1.074
-0.062,0.193,1.113
-0.031,0.188,1.136
0.001,0.196,1.145
0.029,0.189,1.119
0.051,0.186,1.094
0.057,0.189,1.049
0.061,0.187,1.019
0.054,0.174,1.014
0.036,0.168,1.024
0.042,0.169,1.031
0.048,0.145,1.045
0.041,0.126,1.048
0.038,0.124,1.081
0.055,0.13,1.11
0.072,0.145,1.149
0.064,0.145,1.139
0.048,0.166,1.148
0.046,0.164,1.139
0.06,0.155,1.132
-0.249,0.537,1.254
-0.296,0.58,1.271
-0.346,0.63,1.254
-0.366,0.683,1.221
-0.362,0.78,1.183
-0.355,0.916,1.151
-0.37,1.045,1.121
-0.378,1.07,1.114
-0.397,0.93,1.144
-0.296,1.075,1.121
-0.341,1.015,0.968
-0.33,0.888,0.867
-0.2,0.688,0.728
-0.051,0.463,0.739
-0.154,0.357,0.191
0.185,-0.003,0.507
0.262,-0.354,0.266
0.494,-0.726,0.237
0.689,-1.027,0.189
0.779,-1.26,0.226
0.777,-1.522,0.342
0.695,-1.586,0.521
0.532,-1.43,0.863
0.455,-1.217,1.02
0.457,-1.073,1.142
0.48,-0.992,1.241
0.505,-0.884,1.307
0.543,-0.747,1.311
0.619,-0.653,1.29
0.668,-0.573,1.22
0.677,-0.529,1.12
0.673,-0.546,1.03
0.663,-0.593,0.974
0.616,-0.614,0.97
0.56,-0.621,0.975
0.522,-0.598,1.006
0.52,-0.565,1.051
0.559,-0.468,1.087
0.598,-0.378,1.071
0.596,-0.36,1.027
0.561,-0.354,1.001
0.57,-0.367,1.014
0.577,-0.377,1.06
0.583,-0.367,1.068
0.553,-0.275,1.051
0.506,-0.205,1.016
0.413,-0.114,0.969
0.358,-0.053,0.918
0.315,-0.027,0.868
0.291,-0.003,0.82
0.28,0.021,0.773
0.251,0.032,0.734
0.225,0.023,0.709
0.205,0.015,0.701
0.183,0.048,0.695
0.151,0.105,0.681
0.096,0.127,0.672
0.072,0.111,0.675
0.09,0.15,0.737
0.134,0.195,0.791
0.157,0.206,0.851
0.13,0.239,0.877
0.105,0.284,0.843
0.094,0.248,0.803
0.082,0.231,0.782
0.061,0.229,0.781
0.056,0.22,0.798
0.061,0.232,0.824
0.09,0.255,0.862
0.071,0.306,0.857
0.078,0.278,0.874
0.088,0.266,0.881
0.075,0.274,0.876
0.054,0.283,0.868
0.045,0.27,0.874
0.041,0.267,0.849
0.026,0.259,0.859
0.096,0.259,0.886
0.099,0.297,0.905
0.086,0.356,0.902
0.08,0.332,0.892
0.073,0.271,0.886
0.042,0.218,0.885
0.026,0.175,0.911
0.043,0.164,0.971
0.061,0.207,1.044
0.091,0.246,1.1
0.124,0.295,1.165
0.132,0.307,1.182
0.116,0.285,1.167
0.096,0.192,1.083
0.085,0.173,1.06
0.076,0.158,1.039
0.084,0.15,1.038
0.087,0.142,1.034
0.084,0.13,1.032
0.081,0.128,1.046
0.067,0.131,1.066
0.063,0.128,1.084
0.057,0.12,1.103
0.059,0.114,1.129
0.063,0.122,1.169
0.074,0.14,1.203
0.074,0.155,1.191
0.072,0.161,1.158
0.076,0.154,1.108
0.082,0.133,1.087
0.08,0.127,1.059
0.075,0.117,1.048
0.075,0.105,1.052
0.062,0.104,1.063
0.048,0.1,1.075
0.043,0.093,1.07
0.032,0.078,1.065
0.023,0.073,1.049
0.02,0.103,1.026
0.026,0.106,1.002
0.029,0.102,1.001
0.029,0.117,1.009
-0.19,0.627,1.273
-0.155,0.685,1.273
-0.215,0.782,1.34
-0.332,0.939,1.329
-0.514,1.06,1.303
-0.666,1.145,1.257
-0.789,1.199,1.207
-0.977,1.09,1.099
-1.057,0.988,0.929
-0.749,0.684,0.989
-0.494,0.573,0.966
-0.634,0.576,0.48
-0.215,0.286,0.614
-0.081,0.179,0.252
0.303,-0.2,0.109
0.649,-0.786,-0.112
0.792,-1.504,-0.344
1.05,-2.136,-0.341
1.271,-2.501,0.034
0.982,-2.225,0.447
0.461,-1.57,0.696
0.486,-1.139,1.181
0.711,-1.088,1.625
0.853,-0.974,1.742
0.895,-0.702,1.675
0.835,-0.579,1.515
0.756,-0.569,1.328
0.7,-0.568,1.236
0.732,-0.532,1.185
0.787,-0.531,1.089
0.805,-0.562,1.031
0.773,-0.559,0.958
0.743,-0.522,0.865
0.714,-0.532,0.8
0.672,-0.528,0.773
0.605,-0.475,0.737
0.55,-0.45,0.725
0.509,-0.471,0.755
0.497,-0.503,0.804
0.497,-0.5,0.871
0.543,-0.499,0.916
0.585,-0.518,0.962
0.606,-0.526,1.019
0.617,-0.509,1.073
0.606,-0.49,1.09
0.566,-0.424,1.08
