Accel_x,Accel_y,Accel_z
0.138,0.648,0.876
0.166,0.628,0.863
0.165,0.558,0.858
0.157,0.493,0.876
0.174,0.434,0.894
0.228,0.336,0.965
0.151,0.345,1.022
0.058,0.344,1.03
0.034,0.308,1.077
0.009,0.39,1.005
0.05,0.395,1.055
0.046,0.522,1.014
0.096,0.52,1.018
0.125,0.479,0.981
0.18,0.431,1.021
0.191,0.364,1.034
0.15,0.279,1.025
0.122,0.247,1.036
0.076,0.244,1.033
0.043,0.261,1.007
0.047,0.271,1.004
0.066,0.29,1.018
0.069,0.317,1.019
0.068,0.339,1.014
0.068,0.349,1.005
0.07,0.343,0.996
0.065,0.338,0.978
0.069,0.339,0.968
0.074,0.327,0.959
0.071,0.314,0.945
0.068,0.299,0.938
0.071,0.292,0.927
0.073,0.292,0.924
0.074,0.29,0.92
0.075,0.293,0.918
0.085,0.299,0.925
0.079,0.303,0.921
0.075,0.305,0.926
0.074,0.311,0.929
0.085,0.327,0.945
0.091,0.343,0.956
0.096,0.352,0.958
0.103,0.341,0.959
0.094,0.328,0.963
0.087,0.318,0.959
0.09,0.317,0.956
0.101,0.328,0.947
0.119,0.345,0.94
0.133,0.355,0.937
0.135,0.345,0.927
0.128,0.328,0.919
0.122,0.329,0.917
0.13,0.341,0.918
0.148,0.361,0.922
0.155,0.353,0.924
0.151,0.344,0.929
0.14,0.344,0.931
0.131,0.342,0.932
0.13,0.349,0.93
0.117,0.361,0.923
0.117,0.377,0.919
0.125,0.375,0.926
0.137,0.359,0.93
0.139,0.357,0.929
0.131,0.357,0.928
0.132,0.345,0.929
0.125,0.357,0.926
0.119,0.369,0.92
0.112,0.379,0.921
0.122,0.38,0.918
0.129,0.383,0.924
0.134,0.378,0.924
0.13,0.386,0.918
0.136,0.386,0.918
0.134,0.384,0.914
0.133,0.379,0.909
0.14,0.381,0.908
0.144,0.383,0.906
0.151,0.377,0.904
0.15,0.368,0.907
0.155,0.368,0.911
0.174,0.372,0.918
0.185,0.369,0.927
0.172,0.366,0.918
0.154,0.367,0.904
0.153,0.378,0.899
0.159,0.385,0.902
0.17,0.382,0.909
0.167,0.374,0.913
0.162,0.369,0.915
0.158,0.368,0.915
0.15,0.39,0.913
0.159,0.386,0.912
0.154,0.379,0.91
0.138,0.372,0.905
0.139,0.375,0.911
0.142,0.389,0.912
0.144,0.394,0.913
0.148,0.395,0.914
0.15,0.39,0.915
0.149,0.388,0.916
0.148,0.386,0.917
0.495,0.681,0.826
0.469,0.66,0.81
0.445,0.61,0.793
0.397,0.573,0.78
0.377,0.513,0.785
0.349,0.491,0.75
0.325,0.493,0.735
0.323,0.503,0.74
0.311,0.548,0.73
0.325,0.565,0.746
0.322,0.626,0.722
0.28,0.64,0.701
0.203,0.569,0.725
0.18,0.523,0.745
0.145,0.534,0.755
0.142,0.539,0.752
0.145,0.543,0.748
0.16,0.509,0.771
0.172,0.432,0.809
0.2,0.382,0.843
0.221,0.366,0.896
0.232,0.375,0.94
0.257,0.383,0.979
0.279,0.399,0.992
0.31,0.423,1.008
0.326,0.437,1.025
0.352,0.47,1.033
0.36,0.498,1.046
0.36,0.507,1.046
0.34,0.51,1.042
0.307,0.5,1.028
0.288,0.488,1.01
0.258,0.481,0.992
0.231,0.469,0.984
0.22,0.461,0.979
0.219,0.468,0.976
0.226,0.469,0.966
0.239,0.447,0.963
0.25,0.421,0.957
0.249,0.395,0.957
0.194,0.427,0.91
0.231,0.4,0.974
0.233,0.334,0.972
0.233,0.309,0.99
0.245,0.284,1.013
0.224,0.292,1.009
0.214,0.303,1.015
0.19,0.311,1.013
0.163,0.323,1.005
0.116,0.328,0.996
0.091,0.328,0.987
0.076,0.327,0.977
0.051,0.317,0.981
0.039,0.312,0.988
0.035,0.312,1.005
0.036,0.324,1.019
0.056,0.345,1.035
0.071,0.35,1.044
0.077,0.352,1.053
0.072,0.338,1.056
0.072,0.335,1.047
0.072,0.344,1.035
0.094,0.372,1.018
0.113,0.376,0.992
0.12,0.372,0.965
0.123,0.368,0.942
0.138,0.358,0.916
0.148,0.359,0.907
0.162,0.369,0.89
0.177,0.367,0.878
0.186,0.342,0.864
0.194,0.305,0.874
0.194,0.298,0.885
0.196,0.302,0.89
0.193,0.305,0.891
0.187,0.313,0.896
0.183,0.326,0.896
0.177,0.312,0.904
0.174,0.297,0.92
0.173,0.304,0.928
0.173,0.309,0.938
0.184,0.332,0.948
0.192,0.341,0.961
0.195,0.344,0.969
0.189,0.343,0.966
0.179,0.345,0.964
0.177,0.347,0.966
0.171,0.344,0.959
0.166,0.342,0.955
0.151,0.339,0.944
0.148,0.344,0.935
0.151,0.342,0.924
0.154,0.335,0.917
0.153,0.337,0.916
0.152,0.341,0.909
0.151,0.345,0.899
0.153,0.345,0.901
0.172,0.346,0.907
0.193,0.348,0.915
0.193,0.347,0.922
0.179,0.341,0.92
0.165,0.337,0.919
0.16,0.337,0.918
0.152,0.346,0.915
0.157,0.354,0.92
0.165,0.356,0.925
0.17,0.348,0.928
0.187,0.343,0.935
0.196,0.34,0.936
0.194,0.337,0.935
0.187,0.334,0.928
0.179,0.325,0.921
0.172,0.323,0.921
0.173,0.322,0.924
0.17,0.326,0.93
0.17,0.328,0.928
0.166,0.329,0.921
0.173,0.34,0.924
0.171,0.337,0.931
0.621,0.727,0.69
0.557,0.608,0.798
0.472,0.464,0.895
0.385,0.409,0.886
0.276,0.431,0.855
0.191,0.505,0.845
0.173,0.545,0.846
0.201,0.571,0.868
0.24,0.611,0.863
0.271,0.594,0.893
0.284,0.531,0.931
0.264,0.445,0.99
0.219,0.39,1.046
0.163,0.368,1.078
0.127,0.411,1.104
0.121,0.5,1.11
0.16,0.552,1.116
0.172,0.558,1.104
0.176,0.539,1.097
0.168,0.515,1.083
0.158,0.503,1.063
0.164,0.452,1.054
0.163,0.428,1.042
0.158,0.42,1.04
0.152,0.408,1.037
0.14,0.391,1.036
0.112,0.383,1.015
0.091,0.378,0.971
0.073,0.374,0.953
0.065,0.369,0.931
0.069,0.36,0.934
0.066,0.358,0.934
0.075,0.364,0.936
0.086,0.384,0.937
0.085,0.38,0.912
0.089,0.374,0.89
0.098,0.343,0.89
0.113,0.322,0.903
0.123,0.329,0.926
0.15,0.347,0.946
0.153,0.347,0.956
0.141,0.334,0.967
0.151,0.342,0.976
0.168,0.334,1.003
0.18,0.346,1.019
0.176,0.359,1.019
0.161,0.379,0.98
0.156,0.387,0.957
0.153,0.394,0.93
0.151,0.387,0.921
0.149,0.377,0.905
0.149,0.366,0.902
0.151,0.361,0.903
0.157,0.35,0.895
0.154,0.34,0.885
0.155,0.358,0.877
0.157,0.367,0.873
0.159,0.357,0.873
0.151,0.345,0.881
0.14,0.331,0.896
0.136,0.375,0.902
0.21,0.417,0.93
0.223,0.439,0.936
0.198,0.434,0.919
0.18,0.414,0.907
0.177,0.386,0.907
0.187,0.371,0.907
0.19,0.366,0.902
0.193,0.372,0.887
0.196,0.379,0.881
0.195,0.381,0.877
0.185,0.381,0.874
0.179,0.386,0.872
0.182,0.379,0.877
0.185,0.37,0.882
0.186,0.365,0.883
0.187,0.352,0.895
0.179,0.328,0.917
0.158,0.321,0.929
0.152,0.339,0.94
0.152,0.352,0.959
0.145,0.358,0.967
0.137,0.364,0.96
0.132,0.368,0.947
0.14,0.374,0.933
0.157,0.364,0.916
0.167,0.359,0.909
0.168,0.356,0.895
0.17,0.355,0.895
0.171,0.349,0.89
0.17,0.344,0.883
0.165,0.336,0.885
0.161,0.334,0.886
0.155,0.336,0.887
0.153,0.345,0.891
0.16,0.361,0.899
0.172,0.366,0.91
0.181,0.37,0.927
0.18,0.369,0.937
0.164,0.354,0.961
0.144,0.333,0.967
0.142,0.319,0.98
0.147,0.315,0.989
0.155,0.32,0.984
0.156,0.319,0.977
0.163,0.318,0.965
0.173,0.324,0.949
0.185,0.325,0.942
0.19,0.323,0.937
0.185,0.313,0.931
0.171,0.296,0.926
0.158,0.279,0.916
0.138,0.27,0.912
0.128,0.273,0.908
0.123,0.286,0.903
0.126,0.311,0.899
0.137,0.338,0.899
0.142,0.36,0.904
0.142,0.366,0.914
0.231,0.707,1.137
0.191,0.85,0.96
0.251,0.73,1.004
0.141,0.795,0.839
0.169,0.744,0.796
0.179,0.727,0.712
0.188,0.7,0.631
0.192,0.683,0.589
0.17,0.614,0.557
0.174,0.54,0.575
0.219,0.485,0.565
0.329,0.584,0.452
0.482,0.873,0.302
0.426,0.883,0.132
0.369,0.738,0.08
0.399,0.648,0.077
0.429,0.535,0.05
0.442,0.495,0.049
0.447,0.434,0.058
0.488,0.433,0.067
0.542,0.449,0.018
0.576,0.442,-0.125
0.622,0.52,-0.261
0.631,0.619,-0.486
0.679,0.606,-0.526
0.667,0.503,-0.569
0.682,0.415,-0.554
0.75,0.391,-0.508
0.742,0.395,-0.525
0.749,0.42,-0.527
0.814,0.439,-0.493
0.868,0.442,-0.48
0.897,0.457,-0.495
0.882,0.448,-0.492
0.836,0.4,-0.479
0.834,0.395,-0.479
0.844,0.415,-0.489
0.833,0.419,-0.502
0.808,0.408,-0.533
0.789,0.396,-0.549
0.789,0.4,-0.566
0.792,0.402,-0.574
0.778,0.397,-0.579
0.767,0.375,-0.592
0.77,0.348,-0.594
0.812,0.356,-0.588
0.86,0.381,-0.583
0.874,0.395,-0.571
0.882,0.394,-0.55
0.884,0.4,-0.513
0.874,0.363,-0.462
0.856,0.366,-0.444
0.837,0.385,-0.438
0.818,0.423,-0.434
0.808,0.462,-0.445
0.803,0.505,-0.452
0.789,0.537,-0.463
0.769,0.557,-0.476
0.737,0.575,-0.488
0.701,0.576,-0.488
0.643,0.554,-0.485
0.615,0.52,-0.449
0.595,0.493,-0.425
0.605,0.498,-0.357
0.633,0.522,-0.325
0.712,0.558,-0.268
0.736,0.584,-0.231
0.747,0.582,-0.187
0.729,0.548,-0.15
0.679,0.485,-0.109
0.634,0.448,-0.049
0.59,0.428,-0.031
0.476,0.419,-0.032
0.436,0.45,0.012
0.42,0.538,0.112
0.424,0.524,0.248
0.447,0.497,0.355
0.434,0.485,0.445
0.402,0.437,0.53
0.369,0.406,0.595
0.294,0.415,0.623
0.239,0.445,0.671
0.204,0.528,0.729
0.242,0.683,0.875
0.314,0.846,1.12
0.341,0.853,1.282
0.321,0.76,1.374
0.263,0.657,1.409
0.197,0.567,1.405
0.086,0.509,1.295
0.029,0.54,1.175
0.003,0.563,1.093
0.02,0.569,0.985
0.04,0.555,0.92
0.063,0.548,0.87
0.092,0.51,0.84
0.135,0.477,0.833
0.137,0.502,0.797
0.181,0.407,0.854
0.218,0.381,0.872
0.226,0.382,0.879
0.219,0.393,0.864
0.221,0.399,0.86
0.223,0.408,0.863
0.225,0.409,0.875
0.227,0.401,0.895
0.236,0.395,0.913
0.251,0.398,0.931
0.284,0.416,0.96
0.301,0.429,0.991
0.311,0.439,1.002
0.311,0.434,1.027
0.263,0.462,0.983
0.269,0.389,1.046
0.234,0.419,1.019
0.201,0.428,0.994
0.189,0.449,0.977
0.204,0.46,0.936
0.2,0.459,0.913
0.337,0.681,1.027
0.291,0.665,1.055
0.278,0.61,1.026
0.267,0.546,0.918
0.215,0.597,0.634
0.12,0.681,0.514
0.147,0.696,0.483
0.147,0.668,0.404
0.216,0.642,0.405
0.275,0.636,0.369
0.344,0.663,0.28
0.395,0.69,0.224
0.434,0.751,0.172
0.423,0.809,0.176
0.417,0.746,0.18
0.426,0.685,0.203
0.452,0.619,0.208
0.493,0.598,0.188
0.538,0.57,0.151
0.589,0.575,0.098
0.648,0.633,-0.026
0.65,0.673,-0.106
0.605,0.664,-0.248
0.55,0.616,-0.346
0.557,0.538,-0.376
0.564,0.458,-0.436
0.57,0.495,-0.422
0.632,0.492,-0.422
0.678,0.491,-0.435
0.694,0.527,-0.455
0.697,0.553,-0.462
0.709,0.55,-0.484
0.69,0.522,-0.468
0.674,0.489,-0.448
0.684,0.465,-0.459
0.71,0.432,-0.471
0.713,0.421,-0.488
0.703,0.418,-0.517
0.684,0.404,-0.563
0.7,0.414,-0.609
0.717,0.391,-0.601
0.734,0.36,-0.594
0.758,0.341,-0.586
0.764,0.336,-0.601
0.761,0.331,-0.61
0.762,0.318,-0.621
0.772,0.32,-0.619
0.795,0.327,-0.623
0.831,0.329,-0.623
0.88,0.313,-0.605
0.862,0.29,-0.556
0.918,0.315,-0.56
0.897,0.32,-0.582
0.864,0.317,-0.586
0.842,0.31,-0.56
0.835,0.304,-0.548
0.823,0.315,-0.537
0.809,0.35,-0.537
0.801,0.386,-0.549
0.794,0.404,-0.557
0.801,0.414,-0.568
0.798,0.416,-0.568
0.795,0.435,-0.556
0.798,0.448,-0.55
0.769,0.454,-0.526
0.74,0.478,-0.511
0.74,0.495,-0.381
0.721,0.482,-0.432
0.737,0.46,-0.417
0.73,0.495,-0.37
0.717,0.481,-0.387
0.72,0.407,-0.398
0.683,0.517,-0.324
0.712,0.529,-0.337
0.738,0.547,-0.361
0.805,0.512,-0.365
0.786,0.573,-0.31
0.745,0.581,-0.351
0.738,0.558,-0.387
0.741,0.544,-0.413
0.728,0.528,-0.395
0.661,0.518,-0.424
0.63,0.513,-0.42
0.632,0.525,-0.407
0.647,0.538,-0.393
0.688,0.549,-0.375
0.722,0.562,-0.342
0.737,0.554,-0.327
0.733,0.464,-0.302
0.737,0.481,-0.191
0.766,0.52,-0.097
0.79,0.464,-0.01
0.709,0.482,0.003
0.665,0.421,0.058
0.578,0.394,0.095
0.505,0.382,0.176
0.501,0.378,0.26
0.509,0.399,0.297
0.551,0.411,0.354
0.645,0.404,0.496
0.81,0.343,0.773
0.662,0.312,0.732
0.487,0.26,0.707
0.341,0.229,0.698
0.281,0.237,0.72
0.282,0.285,0.796
0.275,0.351,0.868
0.291,0.487,0.931
0.278,0.549,1.008
0.234,0.535,1.039
0.163,0.455,1.061
0.046,0.402,1.097
-0.005,0.401,1.108
-0.015,0.439,1.151
-0.004,0.474,1.228
0.009,0.473,1.286
0.008,0.453,1.31
0.001,0.45,1.293
-0.019,0.455,1.277
0.41,0.889,0.691
0.331,0.776,0.776
0.233,0.703,0.801
0.225,0.601,0.865
0.186,0.619,0.805
0.247,0.705,0.729
0.222,0.864,0.689
0.288,0.807,0.637
0.303,0.684,0.612
0.259,0.62,0.67
0.218,0.614,0.712
0.171,0.651,0.644
0.206,0.652,0.746
0.249,0.577,0.764
0.278,0.569,0.799
0.322,0.521,0.808
0.313,0.535,0.796
0.298,0.536,0.784
0.291,0.529,0.797
0.293,0.542,0.825
0.294,0.571,0.84
0.281,0.597,0.821
0.28,0.629,0.815
0.284,0.618,0.805
0.275,0.575,0.814
0.257,0.531,0.862
0.208,0.462,0.882
0.197,0.462,0.945
0.216,0.451,0.951
0.207,0.45,0.9
0.192,0.445,0.895
0.192,0.44,0.918
0.198,0.424,0.937
0.191,0.429,0.937
0.193,0.442,0.945
0.196,0.458,0.945
0.189,0.465,0.93
0.174,0.468,0.895
0.153,0.468,0.865
0.136,0.465,0.856
0.136,0.439,0.875
0.13,0.415,0.874
0.121,0.393,0.869
0.13,0.39,0.87
0.148,0.37,0.877
0.164,0.354,0.883
0.177,0.346,0.874
0.186,0.352,0.879
0.194,0.358,0.912
0.203,0.357,0.926
0.207,0.353,0.974
0.205,0.35,0.987
0.2,0.353,1.005
0.192,0.36,1.008
0.194,0.369,1.004
0.195,0.373,0.994
0.185,0.363,0.969
0.171,0.334,0.968
0.16,0.305,0.97
0.145,0.294,0.972
0.047,0.355,0.874
0.135,0.199,0.98
0.248,0.202,1
0.115,0.171,0.983
0.071,0.207,0.949
0.056,0.234,0.919
0.072,0.257,0.922
0.09,0.26,0.937
0.103,0.272,0.934
0.102,0.277,0.924
0.1,0.273,0.913
0.095,0.269,0.904
0.095,0.26,0.9
0.094,0.234,0.903
0.094,0.219,0.911
0.09,0.211,0.918
0.087,0.205,0.936
0.085,0.2,0.954
0.079,0.204,0.969
0.072,0.209,0.98
0.068,0.219,0.986
0.07,0.233,0.982
0.076,0.239,0.992
0.08,0.247,1.001
0.081,0.252,1.006
0.074,0.256,1.001
0.061,0.246,0.991
0.055,0.237,0.979
0.048,0.224,0.97
0.051,0.208,0.974
0.059,0.201,0.983
0.065,0.192,1.002
0.078,0.193,1.036
0.088,0.211,1.06
0.113,0.266,1.145
0.127,0.26,1.189
0.129,0.196,1.184
0.113,0.163,1.163
0.085,0.139,1.139
0.052,0.111,1.106
0.011,0.1,1.079
-0.001,0.14,1.04
0.076,0.113,1.019
0.095,0.129,0.967
0.109,0.158,0.946
0.11,0.175,0.94
0.104,0.197,0.936
0.1,0.207,0.929
0.097,0.216,0.922
0.098,0.217,0.927
0.097,0.217,0.941
0.092,0.213,0.956
0.087,0.208,0.965
0.077,0.205,0.974
0.073,0.188,0.986
0.075,0.183,1.005
0.081,0.18,1.019
0.076,0.163,1.018
0.064,0.156,1.015
0.696,0.498,-1.124
0.769,0.544,-1.253
0.835,0.662,-1.335
0.877,0.713,-1.299
0.867,0.576,-1.107
0.84,0.409,-0.956
0.84,0.262,-0.846
0.86,0.155,-0.757
0.88,0.09,-0.702
0.89,0.068,-0.661
0.89,0.09,-0.639
0.873,0.135,-0.61
0.85,0.166,-0.552
0.872,0.121,-0.579
0.85,0.174,-0.67
0.849,0.236,-0.708
0.807,0.27,-0.728
0.784,0.245,-0.711
0.779,0.225,-0.686
0.766,0.226,-0.654
0.752,0.237,-0.638
0.749,0.254,-0.621
0.754,0.265,-0.615
0.768,0.269,-0.61
0.779,0.268,-0.605
0.792,0.277,-0.599
0.797,0.288,-0.592
0.803,0.288,-0.587
0.801,0.287,-0.584
0.783,0.288,-0.584
0.771,0.284,-0.588
0.763,0.28,-0.598
0.756,0.279,-0.628
0.756,0.288,-0.668
0.76,0.305,-0.69
0.766,0.307,-0.718
0.774,0.305,-0.732
0.781,0.302,-0.742
0.791,0.301,-0.745
0.79,0.311,-0.743
0.793,0.32,-0.737
0.794,0.318,-0.729
0.794,0.315,-0.709
